plot,subplot,nitrogen,species,totalcover,percentcover,evenness,richness,density
3,3_9,0,Quercus rubra,1,3.7037037,14.51752582,6,2.25
3,3_9,0,Viola,6,22.2222222,14.51752582,6,2.25
3,3_9,0,Rubus,1,3.7037037,14.51752582,6,2.25
3,3_9,0,Uvularia perfoliata,1,3.7037037,14.51752582,6,2.25
3,3_9,0,Uvularia puberula,2,7.4074074,14.51752582,6,2.25
3,3_9,0,Urtica dioica,16,59.2592593,14.51752582,6,2.25
3,3_5,0,Urtica dioica,13,32.0987654,15.90519287,6,0
3,3_5,0,Viola,4,9.8765432,15.90519287,6,0
3,3_5,0,Acer saccharum,1,2.4691358,15.90519287,6,0
3,3_5,0,Polystichum acrostichoides,21,51.8518519,15.90519287,6,0
3,3_5,0,Acer rubrum,0.5,1.2345679,15.90519287,6,0
3,3_5,0,Actaea racemosa,1,2.4691358,15.90519287,6,0
3,3_4,0,Urtica dioica,28,67.4698795,25.08704855,8,0.75
3,3_4,0,Viola,8,19.2771084,25.08704855,8,0.75
3,3_4,0,Actaea racemosa,1,2.4096386,25.08704855,8,0.75
3,3_4,0,Smilax rotundifolia,1,2.4096386,25.08704855,8,0.75
3,3_4,0,Quercus rubra,1,2.4096386,25.08704855,8,0.75
3,3_4,0,Solidago,1,2.4096386,25.08704855,8,0.75
3,3_4,0,Galium circaezans,1,2.4096386,25.08704855,8,0.75
3,3_4,0,Carrax ssp.,0.5,1.2048193,25.08704855,8,0.75
3,3_9,0,Rubus,5,32.2580645,12.82069921,6,0.5
3,3_9,0,Urtica dioica,5,32.2580645,12.82069921,6,0.5
3,3_9,0,Viola,3,19.3548387,12.82069921,6,0.5
3,3_9,0,Stelleria pubera,1,6.4516129,12.82069921,6,0.5
3,3_9,0,Unknown 2,1,6.4516129,12.82069921,6,0.5
3,3_9,0,Acer rubrum,0.5,3.2258065,12.82069921,6,0.5
5,5_1,0,Viola,5,10.8695652,38.23569616,13,6.75
5,5_1,0,Rubus,2,4.3478261,38.23569616,13,6.75
5,5_1,0,Mustard ssp. ,2,4.3478261,38.23569616,13,6.75
5,5_1,0,Liriodendron tulipifera,4,8.6956522,38.23569616,13,6.75
5,5_1,0,Viburnum acerifolium,1,2.173913,38.23569616,13,6.75
5,5_1,0,Acer rubrum,2,4.3478261,38.23569616,13,6.75
5,5_1,0,Polystichum acrostichoides,16,34.7826087,38.23569616,13,6.75
5,5_1,0,Smilax rotundifolia,1,2.173913,38.23569616,13,6.75
5,5_1,0,Prunus pensylvanica,5,10.8695652,38.23569616,13,6.75
5,5_1,0,Carrax ssp.,1,2.173913,38.23569616,13,6.75
5,5_1,0,Solidago,2,4.3478261,38.23569616,13,6.75
5,5_1,0,Stelleria pubera,4,8.6956522,38.23569616,13,6.75
5,5_1,0,Unknown 4,1,2.173913,38.23569616,13,6.75
5,5_9,0,Polystichum acrostichoides,10,43.4782609,15.77467341,7,0
5,5_9,0,Prunus pensylvanica,3,13.0434783,15.77467341,7,0
5,5_9,0,Sassafras albidum,2,8.6956522,15.77467341,7,0
5,5_9,0,Viola,4,17.3913043,15.77467341,7,0
5,5_9,0,Acer rubrum,1,4.3478261,15.77467341,7,0
5,5_9,0,Stelleria pubera,2,8.6956522,15.77467341,7,0
5,5_9,0,Fraxinus americana,1,4.3478261,15.77467341,7,0
5,5_10,0,Prunus pensylvanica,23,31.292517,27.7240606,9,4.75
5,5_10,0,Liriodendron tulipifera,5,6.8027211,27.7240606,9,4.75
5,5_10,0,Fraxinus americana,2,2.7210884,27.7240606,9,4.75
5,5_10,0,Viola,8,10.8843537,27.7240606,9,4.75
5,5_10,0,Polystichum acrostichoides,31,42.1768707,27.7240606,9,4.75
5,5_10,0,Acer rubrum,2,2.7210884,27.7240606,9,4.75
5,5_10,0,Goodyera pubescens,1,1.3605442,27.7240606,9,4.75
5,5_10,0,Trillium,0.5,0.6802721,27.7240606,9,4.75
5,5_10,0,Mustard ssp. ,1,1.3605442,27.7240606,9,4.75
5,5_4,0,Sassafras albidum,32,54.2372881,13.30327612,6,2
5,5_4,0,Thelypteris noveboracensis,11,18.6440678,13.30327612,6,2
5,5_4,0,Rubus,4,6.779661,13.30327612,6,2
5,5_4,0,Viola,5,8.4745763,13.30327612,6,2
5,5_4,0,Urtica dioica,5,8.4745763,13.30327612,6,2
5,5_4,0,Solidago,2,3.3898305,13.30327612,6,2
12,12_10,0,Thelypteris noveboracensis,6,57.1428571,6.920594379,4,0
12,12_10,0,Rubus,2,19.047619,6.920594379,4,0
12,12_10,0,Viola,0.5,4.7619048,6.920594379,4,0
12,12_10,0,Acer rubrum,2,19.047619,6.920594379,4,0
12,12_4,0,Viola,10,48.7804878,10.49695424,5,0.25
12,12_4,0,Grass ssp.,1,4.8780488,10.49695424,5,0.25
12,12_4,0,Rubus,5,24.3902439,10.49695424,5,0.25
12,12_4,0,Acer rubrum,4,19.5121951,10.49695424,5,0.25
12,12_4,0,Quercus rubra,0.5,2.4390244,10.49695424,5,0.25
12,12_9,0,Smilax rotundifolia,12,80,4.946096773,3,8.25
12,12_9,0,Acer rubrum,2,13.3333333,4.946096773,3,8.25
12,12_9,0,Viburnum acerifolium,1,6.6666667,4.946096773,3,8.25
12,12_3,0,Thelypteris noveboracensis,15,47.6190476,13.89753051,6,0
12,12_3,0,Viola,10,31.7460317,13.89753051,6,0
12,12_3,0,Polygonatum,2,6.3492063,13.89753051,6,0
12,12_3,0,Stelleria pubera,1.5,4.7619048,13.89753051,6,0
12,12_3,0,Urtica dioica,1,3.1746032,13.89753051,6,0
12,12_3,0,Acer rubrum,2,6.3492063,13.89753051,6,0
15,15_11,0,Urtica dioica,1,25,6.238324625,4,0
15,15_11,0,Rubus,2,50,6.238324625,4,0
15,15_11,0,Viola,0.5,12.5,6.238324625,4,0
15,15_11,0,Acer rubrum,0.5,12.5,6.238324625,4,0
15,15_5,0,Smilax rotundifolia,6,63.1578947,7.213407725,4,0.5
15,15_5,0,Viola,2,21.0526316,7.213407725,4,0.5
15,15_5,0,Acer rubrum,1,10.5263158,7.213407725,4,0.5
15,15_5,0,Stelleria pubera,0.5,5.2631579,7.213407725,4,0.5
15,15_2,0,Unknown fern,10,51.2820513,10.75772777,5,0
15,15_2,0,Prunus pensylvanica,2,10.2564103,10.75772777,5,0
15,15_2,0,Liriodendron tulipifera,0.5,2.5641026,10.75772777,5,0
15,15_2,0,Viola,6,30.7692308,10.75772777,5,0
15,15_2,0,Acer rubrum,1,5.1282051,10.75772777,5,0
15,15_1,0,Viola,2,44.4444444,8.906681345,5,6
15,15_1,0,Grass ssp.,0.5,11.1111111,8.906681345,5,6
15,15_1,0,Quercus rubra,0.5,11.1111111,8.906681345,5,6
15,15_1,0,Acer rubrum,1,22.2222222,8.906681345,5,6
15,15_1,0,Liriodendron tulipifera,0.5,11.1111111,8.906681345,5,6
1,1_6,1,Rubus,9,46.1538462,17.9025295,7,1.5
1,1_6,1,Urtica dioica,4,20.5128205,17.9025295,7,1.5
1,1_6,1,Viola,4,20.5128205,17.9025295,7,1.5
1,1_6,1,Acer rubrum,0.5,2.5641026,17.9025295,7,1.5
1,1_6,1,Acer saccharum,0.5,2.5641026,17.9025295,7,1.5
1,1_6,1,Stelleria pubera,0.5,2.5641026,17.9025295,7,1.5
1,1_6,1,Carrax ssp.,1,5.1282051,17.9025295,7,1.5
1,1_3,1,Rubus,24,82.7586207,1.947099917,2,0.25
1,1_3,1,Stelleria pubera,5,17.2413793,1.947099917,2,0.25
1,1_8,1,Rubus,24,54.5454545,17.676484,7,1.5
1,1_8,1,Dennstaedtia punctilobula,7,15.9090909,17.676484,7,1.5
1,1_8,1,Acer rubrum,1,2.2727273,17.676484,7,1.5
1,1_8,1,Acer saccharum,1,2.2727273,17.676484,7,1.5
1,1_8,1,Grass ssp.,4,9.0909091,17.676484,7,1.5
1,1_8,1,Carrax ssp.,2,4.5454545,17.676484,7,1.5
1,1_8,1,Stelleria pubera,5,11.3636364,17.676484,7,1.5
1,1_7,1,Rubus,10,54.0540541,13.12459776,6,2
1,1_7,1,Viola,2,10.8108108,13.12459776,6,2
1,1_7,1,Aralia spinosa,2,10.8108108,13.12459776,6,2
1,1_7,1,Uvularia puberula,2,10.8108108,13.12459776,6,2
1,1_7,1,Trillium,2,10.8108108,13.12459776,6,2
1,1_7,1,Acer rubrum,0.5,2.7027027,13.12459776,6,2
6,6_12,1,Rubus,15,71.4285714,14.86593724,6,0
6,6_12,1,Polystichum acrostichoides,2,9.5238095,14.86593724,6,0
6,6_12,1,Viola,1,4.7619048,14.86593724,6,0
6,6_12,1,Stelleria pubera,1,4.7619048,14.86593724,6,0
6,6_12,1,Acer rubrum,1,4.7619048,14.86593724,6,0
6,6_12,1,Dennstaedtia punctilobula,1,4.7619048,14.86593724,6,0
6,6_5,1,Rubus,30,80,15.00818936,5,0
6,6_5,1,Polystichum acrostichoides,6,16,15.00818936,5,0
6,6_5,1,Acer rubrum,0.5,1.3333333,15.00818936,5,0
6,6_5,1,Stelleria pubera,0.5,1.3333333,15.00818936,5,0
6,6_5,1,Smilax rotundifolia,0.5,1.3333333,15.00818936,5,0
6,6_9,1,Rubus,28,80,13.75138862,5,0
6,6_9,1,Polystichum acrostichoides,4,11.4285714,13.75138862,5,0
6,6_9,1,Stelleria pubera,2,5.7142857,13.75138862,5,0
6,6_9,1,Uvularia puberula,0.5,1.4285714,13.75138862,5,0
6,6_9,1,Acer rubrum,0.5,1.4285714,13.75138862,5,0
6,6_2,1,Rubus,30,89.5522388,10.23951927,4,1.25
6,6_2,1,Acer rubrum,1,2.9850746,10.23951927,4,1.25
6,6_2,1,Stelleria pubera,1.5,4.4776119,10.23951927,4,1.25
6,6_2,1,Smilax rotundifolia,1,2.9850746,10.23951927,4,1.25
10,10_3,1,Rubus,6,41.3793103,9.787224309,5,0
10,10_3,1,Smilax rotundifolia,3,20.6896552,9.787224309,5,0
10,10_3,1,Acer rubrum,4,27.5862069,9.787224309,5,0
10,10_3,1,Prunus serotina,1,6.8965517,9.787224309,5,0
10,10_3,1,Smilax herbacea,0.5,3.4482759,9.787224309,5,0
10,10_4,1,Polystichum acrostichoides,1,25,8.317766167,5,3
10,10_4,1,Viola,1,25,8.317766167,5,3
10,10_4,1,Prunus serotina,0.5,12.5,8.317766167,5,3
10,10_4,1,Acer rubrum,0.5,12.5,8.317766167,5,3
10,10_4,1,Medeola virginiana,1,25,8.317766167,5,3
10,10_8,1,Rubus,14,50,15.15694515,6,1.25
10,10_8,1,Smilax rotundifolia,6,21.4285714,15.15694515,6,1.25
10,10_8,1,Polystichum acrostichoides,6,21.4285714,15.15694515,6,1.25
10,10_8,1,Viola,0.5,1.7857143,15.15694515,6,1.25
10,10_8,1,Acer rubrum,1,3.5714286,15.15694515,6,1.25
10,10_8,1,Prunus serotina,0.5,1.7857143,15.15694515,6,1.25
10,10_6,1,Rubus,90,86.9565217,30.60186021,8,4.75
10,10_6,1,Smilax rotundifolia,5,4.8309179,30.60186021,8,4.75
10,10_6,1,Polystichum acrostichoides,2,1.9323671,30.60186021,8,4.75
10,10_6,1,Medeola virginiana,2,1.9323671,30.60186021,8,4.75
10,10_6,1,Dennstaedtia punctilobula,0.5,0.4830918,30.60186021,8,4.75
10,10_6,1,Viola,0.5,0.4830918,30.60186021,8,4.75
10,10_6,1,Grass ssp.,0.5,0.4830918,30.60186021,8,4.75
10,10_6,1,Acer rubrum,3,2.8985507,30.60186021,8,4.75
13,13_11,1,Smilax rotundifolia,5,71.4285714,10.89270156,5,0
13,13_11,1,Unknown fern,0.5,7.1428571,10.89270156,5,0
13,13_11,1,Viola,0.5,7.1428571,10.89270156,5,0
13,13_11,1,Liriodendron tulipifera,0.5,7.1428571,10.89270156,5,0
13,13_11,1,Acer rubrum,0.5,7.1428571,10.89270156,5,0
13,13_7,1,Rubus,0.5,14.2857143,8.343256384,5,0.25
13,13_7,1,Smilax rotundifolia,1,28.5714286,8.343256384,5,0.25
13,13_7,1,Acer rubrum,1,28.5714286,8.343256384,5,0.25
13,13_7,1,Urtica dioica,0.5,14.2857143,8.343256384,5,0.25
13,13_7,1,Prunus serotina,0.5,14.2857143,8.343256384,5,0.25
13,13_6,1,Rubus,4,26.6666667,9.514899315,5,5.5
13,13_6,1,Smilax rotundifolia,2,13.3333333,9.514899315,5,5.5
13,13_6,1,Urtica dioica,1,6.6666667,9.514899315,5,5.5
13,13_6,1,Acer rubrum,1,6.6666667,9.514899315,5,5.5
13,13_6,1,Prunus pensylvanica,7,46.6666667,9.514899315,5,5.5
13,13_5,1,Smilax rotundifolia,2,16,19.25396784,5,12.25
13,13_5,1,Rubus,0.5,0.6451613,19.25396784,5,12.25
13,13_5,1,Urtica dioica,0.5,0.6329114,19.25396784,5,12.25
13,13_5,1,Acer rubrum,0.5,0.6134969,19.25396784,5,12.25
13,13_5,1,Prunus pensylvanica,9,10.8433735,19.25396784,5,12.25